2017-05-07 10:35:14,385 INFO  service.WebSocketService - 匹配中。。。
2017-05-07 10:35:46,264 INFO  impl.AbstractPoolBackedDataSource - Initializing c3p0 pool... com.mchange.v2.c3p0.ComboPooledDataSource [ acquireIncrement -> 3, acquireRetryAttempts -> 30, acquireRetryDelay -> 1000, autoCommitOnClose -> false, automaticTestTable -> null, breakAfterAcquireFailure -> true, checkoutTimeout -> 0, connectionCustomizerClassName -> null, connectionTesterClassName -> com.mchange.v2.c3p0.impl.DefaultConnectionTester, dataSourceName -> 2yyjsx9n1qd2nkl39i2np|7fa0d2bf, debugUnreturnedConnectionStackTraces -> false, description -> null, driverClass -> com.mysql.jdbc.Driver, factoryClassLocation -> null, forceIgnoreUnresolvedTransactions -> false, identityToken -> 2yyjsx9n1qd2nkl39i2np|7fa0d2bf, idleConnectionTestPeriod -> 60, initialPoolSize -> 10, jdbcUrl -> jdbc:mysql://localhost:3306/type, maxAdministrativeTaskTime -> 0, maxConnectionAge -> 0, maxIdleTime -> 1800, maxIdleTimeExcessConnections -> 0, maxPoolSize -> 100, maxStatements -> 1000, maxStatementsPerConnection -> 0, minPoolSize -> 10, numHelperThreads -> 3, numThreadsAwaitingCheckoutDefaultUser -> 0, preferredTestQuery -> null, properties -> {user=******, password=******}, propertyCycle -> 0, testConnectionOnCheckin -> false, testConnectionOnCheckout -> false, unreturnedConnectionTimeout -> 0, usesTraditionalReflectiveProxies -> false ]
2017-05-07 10:35:52,420 INFO  controller.IndexController - login取得的用户名和密码为：111111,1
2017-05-07 10:35:52,494 INFO  interceptor.LoginInterceptor - 用户已经登录！
2017-05-07 10:35:52,501 INFO  controller.HomePageController - 分页信息：size：2page1
2017-05-07 10:35:52,505 INFO  controller.HomePageController - 用户信息：TypeUser{userId='149290844592822', userName='111111', password='1', record='{"a":0,"b":0,"c":0,"d":0,"e":0,"f":0,"g":0,"h":0,"i":0,"j":0,"k":0,"l":0,"m":0,"n":0,"o":0,"p":0,"q":0,"r":0,"s":0,"t":0,"u":0,"v":0,"w":0,"x":0,"y":0,"z":0}', createTime=Sun Apr 23 08:47:26 CST 2017, email='11@qq.com', state=1, friendId='null'}
2017-05-07 10:36:00,503 INFO  interceptor.LoginInterceptor - 用户已经登录！
2017-05-07 10:36:17,736 INFO  interceptor.LoginInterceptor - 用户已经登录！
2017-05-07 10:36:17,736 INFO  controller.HomePageController - webapp路径：/Users/dx/java/workspace/type/type-manager/type-manager-web/src/main/webapp/
2017-05-07 10:36:17,737 INFO  impl.UserServiceImpl - 最后路径:/Users/dx/java/workspace/type/type-manager/type-manager-web/src/main/webapp/img/2017/05/07/1494124577737043.png
2017-05-07 10:36:17,744 INFO  impl.UserServiceImpl - 1
2017-05-07 10:36:17,744 INFO  impl.UserServiceImpl - 2img/2017/05/071494124577737043.png
2017-05-07 10:36:17,744 INFO  controller.HomePageController - 相对路径为：/img/2017/05/07/1494124577737043.png
2017-05-07 10:36:17,749 INFO  controller.HomePageController - 图片返回值：{"imgUrl":"/img/2017/05/07/1494124577737043.png"}
2017-05-07 10:36:17,750 INFO  impl.UserServiceImpl - 最后路径:/Users/dx/java/workspace/type/type-manager/type-manager-web/src/main/webapp/img/2017/05/07/1494124577750342.png
2017-05-07 10:36:17,751 INFO  impl.UserServiceImpl - 1
2017-05-07 10:36:17,751 INFO  impl.UserServiceImpl - 2img/2017/05/071494124577750342.png
2017-05-07 10:36:36,199 INFO  interceptor.LoginInterceptor - 用户已经登录！
2017-05-07 10:36:36,200 INFO  controller.HomePageController - 分页信息：size：2page2
2017-05-07 10:36:36,204 INFO  controller.HomePageController - 用户信息：TypeUser{userId='149290844592822', userName='111111', password='1', record='{"a":0,"b":0,"c":0,"d":0,"e":0,"f":0,"g":0,"h":0,"i":0,"j":0,"k":0,"l":0,"m":0,"n":0,"o":0,"p":0,"q":0,"r":0,"s":0,"t":0,"u":0,"v":0,"w":0,"x":0,"y":0,"z":0}', createTime=Sun Apr 23 08:47:26 CST 2017, email='11@qq.com', state=1, friendId='null'}
2017-05-07 10:36:36,693 INFO  interceptor.LoginInterceptor - 用户已经登录！
2017-05-07 10:36:36,694 INFO  controller.HomePageController - 分页信息：size：2page3
