2017-04-09 00:00:39,465 INFO  controller.IndexController - 取得的用户名为：2
2017-04-09 00:00:39,525 INFO  impl.AbstractPoolBackedDataSource - Initializing c3p0 pool... com.mchange.v2.c3p0.ComboPooledDataSource [ acquireIncrement -> 3, acquireRetryAttempts -> 30, acquireRetryDelay -> 1000, autoCommitOnClose -> false, automaticTestTable -> null, breakAfterAcquireFailure -> true, checkoutTimeout -> 0, connectionCustomizerClassName -> null, connectionTesterClassName -> com.mchange.v2.c3p0.impl.DefaultConnectionTester, dataSourceName -> 1hge9gk9nlq2hxc1r57bms|24aa59ce, debugUnreturnedConnectionStackTraces -> false, description -> null, driverClass -> com.mysql.jdbc.Driver, factoryClassLocation -> null, forceIgnoreUnresolvedTransactions -> false, identityToken -> 1hge9gk9nlq2hxc1r57bms|24aa59ce, idleConnectionTestPeriod -> 60, initialPoolSize -> 10, jdbcUrl -> jdbc:mysql://localhost:3306/type, maxAdministrativeTaskTime -> 0, maxConnectionAge -> 0, maxIdleTime -> 1800, maxIdleTimeExcessConnections -> 0, maxPoolSize -> 100, maxStatements -> 1000, maxStatementsPerConnection -> 0, minPoolSize -> 10, numHelperThreads -> 3, numThreadsAwaitingCheckoutDefaultUser -> 0, preferredTestQuery -> null, properties -> {user=******, password=******}, propertyCycle -> 0, testConnectionOnCheckin -> false, testConnectionOnCheckout -> false, unreturnedConnectionTimeout -> 0, usesTraditionalReflectiveProxies -> false ]
2017-04-09 00:00:39,659 INFO  controller.IndexController - 取得的用户名为：22
2017-04-09 00:00:39,915 INFO  controller.IndexController - 取得的用户名为：222
2017-04-09 00:00:40,395 INFO  controller.IndexController - 取得的用户名为：2222
2017-04-09 00:00:40,579 INFO  controller.IndexController - 取得的用户名为：22222
2017-04-09 00:00:40,778 INFO  controller.IndexController - 取得的用户名为：222222
2017-04-09 00:00:43,432 INFO  controller.IndexController - loginVolidate取得的用户名和密码为：222222,1
2017-04-09 00:00:43,600 INFO  controller.IndexController - loginVolidate取得的用户名和密码为：222222,11
2017-04-09 00:00:43,752 INFO  controller.IndexController - loginVolidate取得的用户名和密码为：222222,111
2017-04-09 00:05:39,033 INFO  controller.IndexController - 取得的用户名为：2
2017-04-09 00:05:39,178 INFO  controller.IndexController - 取得的用户名为：22
2017-04-09 00:05:39,355 INFO  controller.IndexController - 取得的用户名为：222
2017-04-09 00:05:39,546 INFO  controller.IndexController - 取得的用户名为：2222
2017-04-09 00:05:39,740 INFO  controller.IndexController - 取得的用户名为：22222
2017-04-09 00:05:39,932 INFO  controller.IndexController - 取得的用户名为：222222
2017-04-09 00:05:41,713 INFO  controller.IndexController - loginVolidate取得的用户名和密码为：222222,1
2017-04-09 00:05:41,875 INFO  controller.IndexController - loginVolidate取得的用户名和密码为：222222,11
2017-04-09 00:05:42,017 INFO  controller.IndexController - loginVolidate取得的用户名和密码为：222222,111
2017-04-09 00:05:43,388 INFO  controller.IndexController - login取得的用户名和密码为：222222,111
2017-04-09 00:07:59,768 INFO  controller.IndexController - 取得的用户名为：222222
2017-04-09 00:08:03,252 INFO  controller.IndexController - loginVolidate取得的用户名和密码为：222222,1
2017-04-09 00:08:03,410 INFO  controller.IndexController - loginVolidate取得的用户名和密码为：222222,11
2017-04-09 00:08:03,538 INFO  controller.IndexController - loginVolidate取得的用户名和密码为：222222,111
2017-04-09 00:08:04,488 INFO  controller.IndexController - login取得的用户名和密码为：222222,111
2017-04-09 00:09:17,722 INFO  controller.IndexController - 取得的用户名为：222222
2017-04-09 00:09:18,767 INFO  controller.IndexController - loginVolidate取得的用户名和密码为：222222,1
2017-04-09 00:09:18,927 INFO  controller.IndexController - loginVolidate取得的用户名和密码为：222222,11
2017-04-09 00:09:19,062 INFO  controller.IndexController - loginVolidate取得的用户名和密码为：222222,111
2017-04-09 00:11:03,402 INFO  controller.IndexController - 取得的用户名为：222222
2017-04-09 00:11:04,970 INFO  controller.IndexController - loginVolidate取得的用户名和密码为：222222,1
2017-04-09 00:11:05,146 INFO  controller.IndexController - loginVolidate取得的用户名和密码为：222222,11
2017-04-09 00:11:05,273 INFO  controller.IndexController - loginVolidate取得的用户名和密码为：222222,111
2017-04-09 00:11:06,264 INFO  controller.IndexController - login取得的用户名和密码为：222222,111
2017-04-09 00:11:54,991 INFO  controller.IndexController - login取得的用户名和密码为：null,null
2017-04-09 00:13:04,642 INFO  controller.IndexController - login取得的用户名和密码为：null,null
